                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61218,                 4.3136,                 1.1504,                 0.0014,                0.14561,                0.00311,                0.00091,                 1.7668,                 5.1548,                 1.8334,               0.070108,              0.0033214,              0.0033214
                      2,                0.57307,                 3.6128,                 1.1138,                0.00253,                0.54133,                0.01167,                0.00803,                 1.0633,                 4.0724,                 1.4081,               0.039976,               0.006523,               0.006523
                      3,                0.51606,                 3.4122,                 1.0844,                0.00244,                 0.6413,                0.02548,                0.02239,                0.46447,                 3.3957,                 0.8552,               0.009712,              0.0095925,              0.0095925
                      4,                0.46628,                 3.3252,                  1.055,                 0.0038,                0.86705,                0.02977,                0.02689,                0.53188,                 3.1775,                0.87504,               0.009406,               0.009406,               0.009406
                      5,                0.43616,                 3.2731,                 1.0357,                0.00456,                0.85475,                0.03581,                0.03229,                0.52806,                  3.091,                0.83837,               0.009406,               0.009406,               0.009406
                      6,                0.39654,                 3.2208,                 1.0128,                0.00314,                0.88857,                0.03303,                0.03013,                0.45135,                 3.2066,                0.85265,               0.009208,               0.009208,               0.009208
                      7,                0.36908,                 3.1667,                 1.0028,                0.00463,                 0.8887,                0.04011,                 0.0371,                0.35205,                 3.0416,                 0.6903,                0.00901,                0.00901,                0.00901
                      8,                0.36959,                 3.1791,                0.99999,                0.00415,                 0.8887,                0.04189,                0.03927,                0.42785,                 3.0455,                0.75673,               0.008812,               0.008812,               0.008812
                      9,                0.34338,                 3.1333,                0.98806,                0.00464,                0.85877,                0.03968,                0.03626,                0.43602,                 3.0301,                0.76601,               0.008614,               0.008614,               0.008614
                     10,                0.33313,                 3.1179,                0.98383,                0.00305,                 0.8517,                0.03131,                0.02929,                0.45702,                 3.1762,                0.84791,               0.008416,               0.008416,               0.008416
                     11,                0.33444,                 3.1252,                0.98883,                0.00394,                0.94575,                0.03315,                0.02986,                0.43451,                 3.0801,                0.76438,               0.008218,               0.008218,               0.008218
                     12,                0.32701,                 3.0764,                0.98319,                0.00368,                0.91304,                 0.0346,                0.03284,                0.41092,                 3.0113,                0.80598,                0.00802,                0.00802,                0.00802
                     13,                0.31371,                 3.0507,                0.98217,                0.00401,                0.83991,                0.02867,                0.02618,                0.58486,                 3.5473,                0.98949,               0.007822,               0.007822,               0.007822
