epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.2705,0.78229,4.46536,1.33805,0.00165,0.36311,0.00685,0.00366,1.37699,4.89946,1.63743,0.000199283,0.000199283,0.080271
2,174.277,0.70803,4.01295,1.26792,0.68123,0.05459,0.03456,0.03029,0.59427,3.49104,0.9506,0.00039569,0.00039569,0.0604674
3,372.058,0.69981,3.68811,1.24274,0.8278,0.03628,0.05744,0.04041,0.71631,3.28473,1.01661,0.000588496,0.000588496,0.0406602
4,538.625,0.66034,3.47021,1.21431,0.78918,0.08417,0.07984,0.06599,0.54125,3.27548,0.85188,0.000777703,0.000777703,0.0208494
5,724.675,0.63008,3.28627,1.19869,0.78765,0.07851,0.10267,0.08675,0.66259,3.12234,0.99133,0.000963309,0.000963309,0.00103499
6,877.416,0.60605,3.17238,1.1822,0.79368,0.12222,0.14005,0.11847,0.73458,2.78375,0.93779,0.000955,0.000955,0.000955
7,1052.31,0.57,3.03186,1.15489,0.76577,0.10215,0.11727,0.09379,0.78715,3.09482,0.99934,0.000946,0.000946,0.000946
8,1224.08,0.56652,3.03077,1.15386,0.8055,0.10905,0.14739,0.115,0.67534,2.94077,0.8867,0.000937,0.000937,0.000937
9,1383.25,0.57881,2.93871,1.16511,0.65751,0.16291,0.16131,0.14534,0.57008,2.51404,0.85758,0.000928,0.000928,0.000928
10,1559.33,0.53392,2.88953,1.13558,0.79697,0.09735,0.12722,0.10358,0.81696,2.70905,1.07408,0.000919,0.000919,0.000919
11,1734.02,0.53833,2.82576,1.1333,0.68468,0.13084,0.14285,0.11789,0.62077,2.6583,0.9329,0.00091,0.00091,0.00091
12,1901.96,0.52534,2.76289,1.13153,0.69587,0.16035,0.19644,0.17923,0.51576,2.35277,0.80923,0.000901,0.000901,0.000901
13,2070.18,0.50549,2.72913,1.11765,0.66669,0.20133,0.2126,0.17822,0.67173,2.3867,0.9348,0.000892,0.000892,0.000892
14,2247.73,0.49328,2.71371,1.10642,0.60452,0.22409,0.21911,0.19306,0.59589,2.48597,0.86258,0.000883,0.000883,0.000883
15,2414.35,0.49268,2.66615,1.10366,0.61403,0.22349,0.25179,0.22154,0.61073,2.18913,0.84024,0.000874,0.000874,0.000874
16,2581.8,0.49758,2.62582,1.11041,0.61608,0.22916,0.27618,0.22662,0.54865,2.3574,0.83197,0.000865,0.000865,0.000865
17,2752.66,0.4687,2.53773,1.09303,0.66532,0.16559,0.19929,0.18137,0.52905,2.41604,0.81526,0.000856,0.000856,0.000856
18,2915.08,0.47856,2.55073,1.09717,0.70462,0.19465,0.22906,0.20467,0.50152,2.16406,0.81962,0.000847,0.000847,0.000847
19,3088.28,0.46148,2.49773,1.08652,0.62308,0.24449,0.26477,0.2383,0.49493,2.0476,0.76929,0.000838,0.000838,0.000838
20,3258.38,0.46278,2.47445,1.09091,0.61429,0.22074,0.26924,0.22954,0.60544,2.11433,0.84913,0.000829,0.000829,0.000829
21,3424.98,0.46807,2.44903,1.0902,0.61369,0.25994,0.31902,0.29065,0.43124,1.96449,0.75856,0.00082,0.00082,0.00082
22,3597.56,0.47222,2.44314,1.0954,0.5685,0.29683,0.35839,0.31593,0.54367,2.12262,0.83616,0.000811,0.000811,0.000811
23,3778.71,0.46015,2.38954,1.08145,0.63889,0.2647,0.31432,0.29214,0.45898,1.90332,0.7752,0.000802,0.000802,0.000802
24,3951.12,0.44802,2.36985,1.07788,0.56592,0.3012,0.3488,0.31026,0.54976,1.9689,0.83921,0.000793,0.000793,0.000793
25,4126.23,0.46094,2.35848,1.08042,0.53818,0.3366,0.37221,0.34545,0.42686,1.81189,0.77315,0.000784,0.000784,0.000784
26,4299.72,0.43769,2.30642,1.07193,0.53086,0.34421,0.39088,0.3602,0.49324,1.99066,0.77084,0.000775,0.000775,0.000775
