epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3869.49,0.4014,4.51194,1.11538,0.85819,0.04779,0.07382,0.0683,0.25098,3.05618,0.6332,1.86499e-05,1.86499e-05,1.86499e-05
2,8557.03,0.31085,3.62808,1.04321,0.70454,0.12265,0.13852,0.13634,0.26188,2.72651,0.65838,3.69472e-05,3.69472e-05,3.69472e-05
3,12918.9,0.33433,3.27281,1.05087,0.83042,0.10472,0.15347,0.14083,0.29707,2.61542,0.68821,5.48748e-05,5.48748e-05,5.48748e-05
4,16843.9,0.32228,2.96869,1.04141,0.6525,0.22701,0.21839,0.20595,0.26826,2.60694,0.64963,5.43368e-05,5.43368e-05,5.43368e-05
5,21289.2,0.29967,2.84369,1.02684,0.70545,0.23339,0.28161,0.2702,0.24589,2.30552,0.61943,5.37824e-05,5.37824e-05,5.37824e-05
6,26891.6,0.28726,2.60513,1.01013,0.56362,0.34055,0.38519,0.36965,0.23633,2.02524,0.59345,5.3228e-05,5.3228e-05,5.3228e-05
7,31467.7,0.26598,2.41348,0.99454,0.68436,0.38489,0.43452,0.41325,0.23043,1.84531,0.59583,5.26736e-05,5.26736e-05,5.26736e-05
8,35300.8,0.2536,2.29692,0.98769,0.71176,0.36239,0.49462,0.46823,0.26769,1.91213,0.62574,5.21192e-05,5.21192e-05,5.21192e-05
9,39839.3,0.25609,2.14898,0.99153,0.75605,0.40431,0.55808,0.5367,0.22779,1.6256,0.57459,5.15648e-05,5.15648e-05,5.15648e-05
10,44150.6,0.23375,2.01,0.97515,0.51321,0.59036,0.62393,0.5885,0.20066,1.62815,0.54207,5.10104e-05,5.10104e-05,5.10104e-05
11,47921.3,0.24682,1.93676,0.98503,0.6595,0.5371,0.64965,0.62728,0.21178,1.5378,0.57091,5.0456e-05,5.0456e-05,5.0456e-05
12,52249.6,0.2256,1.84454,0.9705,0.60614,0.61268,0.67144,0.64112,0.21688,1.3939,0.55527,4.99016e-05,4.99016e-05,4.99016e-05
13,56505.6,0.22896,1.79899,0.96988,0.55624,0.63916,0.71378,0.67721,0.21545,1.23959,0.5776,4.93472e-05,4.93472e-05,4.93472e-05
14,60891.4,0.22386,1.69225,0.96659,0.60755,0.67609,0.7448,0.70775,0.21459,1.25622,0.55522,4.87928e-05,4.87928e-05,4.87928e-05
15,65230.1,0.2195,1.65705,0.96741,0.59108,0.70769,0.77146,0.73725,0.18468,1.03269,0.53319,4.82384e-05,4.82384e-05,4.82384e-05
16,69566.3,0.21225,1.50864,0.95863,0.7701,0.63984,0.78424,0.7576,0.18399,1.11538,0.53904,4.7684e-05,4.7684e-05,4.7684e-05
17,75249.7,0.22407,1.46895,0.97263,0.71659,0.67274,0.76916,0.74387,0.19958,1.03484,0.53498,4.71296e-05,4.71296e-05,4.71296e-05
18,80292.8,0.2115,1.41844,0.95778,0.66605,0.72381,0.80113,0.77484,0.17555,0.95092,0.52656,4.65752e-05,4.65752e-05,4.65752e-05
19,84637.6,0.21097,1.36487,0.9576,0.69355,0.68733,0.78565,0.73458,0.22929,0.96333,0.58681,4.60208e-05,4.60208e-05,4.60208e-05
20,88393.7,0.21524,1.32477,0.96378,0.68638,0.74986,0.8165,0.78756,0.16542,0.92396,0.5257,4.54664e-05,4.54664e-05,4.54664e-05
21,94365.2,0.20517,1.28171,0.95843,0.78263,0.71028,0.84143,0.80523,0.2005,0.84211,0.54732,4.4912e-05,4.4912e-05,4.4912e-05
22,98506.7,0.20107,1.2193,0.95466,0.71772,0.81376,0.88305,0.84537,0.21762,0.84385,0.54411,4.43576e-05,4.43576e-05,4.43576e-05
23,102599,0.18698,1.15253,0.93771,0.69237,0.80966,0.87487,0.83375,0.18576,0.71181,0.53261,4.38032e-05,4.38032e-05,4.38032e-05
24,106519,0.19164,1.14862,0.94816,0.78693,0.79844,0.87963,0.84366,0.15002,0.7056,0.50386,4.32488e-05,4.32488e-05,4.32488e-05
25,109644,0.18587,1.10561,0.94595,0.76595,0.82045,0.89966,0.85577,0.17192,0.65835,0.51514,4.26944e-05,4.26944e-05,4.26944e-05
26,123131,0.1862,1.08817,0.94095,0.79528,0.80319,0.89836,0.86756,0.17048,0.6995,0.51823,4.214e-05,4.214e-05,4.214e-05
27,126517,0.18489,1.03898,0.94221,0.87823,0.77048,0.8894,0.85257,0.17399,0.66643,0.52417,4.15856e-05,4.15856e-05,4.15856e-05
28,130862,0.18134,1.03829,0.93578,0.83792,0.82327,0.91143,0.87632,0.18654,0.77321,0.52329,4.10312e-05,4.10312e-05,4.10312e-05
29,135216,0.17583,0.9976,0.93711,0.86294,0.77772,0.90865,0.87657,0.174,0.66571,0.5121,4.04768e-05,4.04768e-05,4.04768e-05
30,139258,0.17528,0.96172,0.93545,0.86798,0.84292,0.93,0.88279,0.18146,0.63923,0.51081,3.99224e-05,3.99224e-05,3.99224e-05
31,144972,0.1709,0.94201,0.9312,0.86855,0.82753,0.93548,0.90107,0.16291,0.5414,0.50081,3.9368e-05,3.9368e-05,3.9368e-05
32,166231,0.17644,0.91974,0.93517,0.81688,0.87032,0.92685,0.88487,0.1833,0.56759,0.52967,3.88136e-05,3.88136e-05,3.88136e-05
33,170795,0.17238,0.87875,0.9312,0.88079,0.803,0.91939,0.87997,0.16264,0.56687,0.51184,3.82592e-05,3.82592e-05,3.82592e-05
34,174616,0.16366,0.87266,0.93502,0.9003,0.80659,0.92872,0.88951,0.17703,0.54339,0.52855,3.77048e-05,3.77048e-05,3.77048e-05
35,179658,0.16551,0.86392,0.93981,0.85013,0.87121,0.93408,0.90353,0.14702,0.51778,0.48829,3.71504e-05,3.71504e-05,3.71504e-05
36,184135,0.16276,0.84352,0.93269,0.87015,0.84967,0.93438,0.89353,0.15787,0.51149,0.49444,3.6596e-05,3.6596e-05,3.6596e-05
37,188600,0.16221,0.8341,0.93193,0.86477,0.88288,0.94775,0.90415,0.15112,0.47794,0.49247,3.60416e-05,3.60416e-05,3.60416e-05
38,191929,0.16031,0.78771,0.92817,0.84996,0.86454,0.93844,0.894,0.16269,0.46975,0.50281,3.54872e-05,3.54872e-05,3.54872e-05
39,195870,0.16225,0.80308,0.92556,0.8722,0.85672,0.9384,0.90273,0.15089,0.48813,0.49344,3.49328e-05,3.49328e-05,3.49328e-05
40,198873,0.15573,0.74985,0.92803,0.87777,0.82984,0.94507,0.90855,0.16646,0.46958,0.516,3.43784e-05,3.43784e-05,3.43784e-05
41,202017,0.1535,0.73577,0.92503,0.88283,0.81247,0.92675,0.89612,0.144,0.47682,0.49378,3.3824e-05,3.3824e-05,3.3824e-05
42,206496,0.14666,0.69081,0.91825,0.88,0.82471,0.93791,0.89511,0.1615,0.51024,0.50258,3.32696e-05,3.32696e-05,3.32696e-05
43,210216,0.14841,0.67225,0.92002,0.87145,0.88027,0.95172,0.90609,0.16881,0.5337,0.51122,3.27152e-05,3.27152e-05,3.27152e-05
44,214205,0.14529,0.6943,0.91933,0.88991,0.85605,0.9419,0.90372,0.1574,0.4661,0.49716,3.21608e-05,3.21608e-05,3.21608e-05
