epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.919,0.32979,4.32238,1.0575,0.81777,0.07738,0.09363,0.08976,0.27345,2.7859,0.64288,1.85998e-05,1.85998e-05,1.85998e-05
2,411.728,0.25705,3.18615,0.99296,0.73991,0.17551,0.22144,0.20602,0.29524,2.16679,0.68192,3.68975e-05,3.68975e-05,3.68975e-05
3,610.57,0.25338,2.74804,0.98108,0.69913,0.29643,0.35523,0.33741,0.24896,1.87948,0.61827,5.48256e-05,5.48256e-05,5.48256e-05
4,806.402,0.24829,2.3849,0.97637,0.54521,0.39727,0.4081,0.39548,0.23242,1.59439,0.60462,5.43368e-05,5.43368e-05,5.43368e-05
5,1005.21,0.22677,2.15575,0.95851,0.65863,0.44331,0.52442,0.4955,0.24362,1.48335,0.62636,5.37824e-05,5.37824e-05,5.37824e-05
6,1203.81,0.2196,1.95424,0.95878,0.62169,0.53237,0.5893,0.56541,0.17592,1.25606,0.54067,5.3228e-05,5.3228e-05,5.3228e-05
7,1405.06,0.21927,1.82868,0.9543,0.83867,0.46398,0.68647,0.65292,0.19439,1.0843,0.5507,5.26736e-05,5.26736e-05,5.26736e-05
8,1601.07,0.20174,1.62486,0.94473,0.81515,0.56153,0.76655,0.73414,0.18575,0.97557,0.5407,5.21192e-05,5.21192e-05,5.21192e-05
9,1799.41,0.21035,1.538,0.94301,0.73582,0.63904,0.76832,0.73828,0.18753,0.88889,0.53531,5.15648e-05,5.15648e-05,5.15648e-05
10,1999.03,0.1993,1.40435,0.94116,0.73684,0.66502,0.81056,0.76807,0.19293,0.84252,0.55473,5.10104e-05,5.10104e-05,5.10104e-05
11,2202.35,0.19549,1.38757,0.93707,0.68268,0.71871,0.80833,0.76542,0.20406,0.82146,0.56167,5.0456e-05,5.0456e-05,5.0456e-05
12,2396.6,0.18807,1.30062,0.9336,0.81426,0.72131,0.86454,0.82896,0.16622,0.67099,0.51608,4.99016e-05,4.99016e-05,4.99016e-05
13,2592.77,0.18372,1.1623,0.93417,0.73952,0.76897,0.87877,0.84432,0.19708,0.68631,0.54756,4.93472e-05,4.93472e-05,4.93472e-05
